index,image_path,relative_path,class_idx,class_name,split,domain,mask_exists
0,data/all_benign/all_benign_0001.jpg,all_benign/all_benign_0001.jpg,0,all_benign,train,default,0
1,data/all_benign/all_benign_0002.jpg,all_benign/all_benign_0002.jpg,0,all_benign,train,default,0
2,data/all_benign/all_benign_0003.jpg,all_benign/all_benign_0003.jpg,0,all_benign,train,default,0
3,data/all_benign/all_benign_0004.jpg,all_benign/all_benign_0004.jpg,0,all_benign,test,default,0
4,data/all_benign/all_benign_0005.jpg,all_benign/all_benign_0005.jpg,0,all_benign,test,default,0
5,data/all_benign/all_benign_0006.jpg,all_benign/all_benign_0006.jpg,0,all_benign,train,default,0
6,data/all_benign/all_benign_0007.jpg,all_benign/all_benign_0007.jpg,0,all_benign,train,default,0
7,data/all_benign/all_benign_0008.jpg,all_benign/all_benign_0008.jpg,0,all_benign,train,default,0
8,data/all_benign/all_benign_0009.jpg,all_benign/all_benign_0009.jpg,0,all_benign,train,default,0
9,data/all_benign/all_benign_0010.jpg,all_benign/all_benign_0010.jpg,0,all_benign,val,default,0
10,data/all_benign/all_benign_0011.jpg,all_benign/all_benign_0011.jpg,0,all_benign,train,default,0
11,data/all_benign/all_benign_0012.jpg,all_benign/all_benign_0012.jpg,0,all_benign,val,default,0
12,data/all_benign/all_benign_0013.jpg,all_benign/all_benign_0013.jpg,0,all_benign,train,default,0
13,data/all_benign/all_benign_0014.jpg,all_benign/all_benign_0014.jpg,0,all_benign,test,default,0
14,data/all_benign/all_benign_0015.jpg,all_benign/all_benign_0015.jpg,0,all_benign,train,default,0
15,data/all_benign/all_benign_0016.jpg,all_benign/all_benign_0016.jpg,0,all_benign,train,default,0
16,data/all_benign/all_benign_0017.jpg,all_benign/all_benign_0017.jpg,0,all_benign,train,default,0
17,data/all_benign/all_benign_0018.jpg,all_benign/all_benign_0018.jpg,0,all_benign,test,default,0
18,data/all_benign/all_benign_0019.jpg,all_benign/all_benign_0019.jpg,0,all_benign,train,default,0
19,data/all_benign/all_benign_0020.jpg,all_benign/all_benign_0020.jpg,0,all_benign,train,default,0
20,data/all_benign/all_benign_0021.jpg,all_benign/all_benign_0021.jpg,0,all_benign,train,default,0
21,data/all_benign/all_benign_0022.jpg,all_benign/all_benign_0022.jpg,0,all_benign,val,default,0
22,data/all_benign/all_benign_0023.jpg,all_benign/all_benign_0023.jpg,0,all_benign,train,default,0
23,data/all_benign/all_benign_0024.jpg,all_benign/all_benign_0024.jpg,0,all_benign,train,default,0
24,data/all_benign/all_benign_0025.jpg,all_benign/all_benign_0025.jpg,0,all_benign,train,default,0
25,data/all_benign/all_benign_0026.jpg,all_benign/all_benign_0026.jpg,0,all_benign,val,default,0
