epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,0.9211369660922459,0.7743571428571429,0.575735439300537,0.9483333333333334,0.0001,457.769140958786
2,0.5413212154252188,0.9230714285714285,0.40247007163365683,0.9693333333333334,0.0001,648.8284368515015
3,0.23869337228366308,0.9953571428571428,0.21068275618553162,1.0,5e-05,990.8507430553436
4,0.21571251928806304,0.9994285714285714,0.20693271219730378,1.0,5e-05,1100.513900756836
5,0.21073296325547355,0.9997142857142857,0.20651123944918315,1.0,5e-05,1018.196750164032
6,0.20856300597531455,0.9998571428571429,0.20448520457744598,1.0,5e-05,1012.5947439670563
7,0.2063383273737771,1.0,0.2038154403368632,1.0,5e-05,1412.9651398658752
8,0.2045776787825993,1.0,0.20323526871204375,1.0,5e-05,1507.4539561271667
9,0.20439766757828848,0.9999285714285714,0.20243718485037485,1.0,5e-05,1161.2254240512848
10,0.20481542638369968,0.9996428571428572,0.20297589612007141,1.0,5e-05,972.0945470333099
